rank,edge_id,street,beta_mean,beta_sd,capacity_reduction_pct,observations,hotspots_explained,confidence
1,MUM-E023095,,0.3945,0.1817,56.7,0,,inferred
2,MUM-E019716,,0.3618,0.1863,52.7,0,,inferred
3,MUM-E017178,,0.356,0.1218,52.0,0,,inferred
4,MUM-E017176,,0.3525,0.1278,51.5,0,,inferred
5,MUM-E017177,,0.3505,0.1198,51.3,0,,inferred
6,MUM-E000218,,0.35,0.15,51.2,0,,inferred
7,MUM-E000219,,0.35,0.15,51.2,0,,inferred
8,MUM-E000220,,0.35,0.15,51.2,0,,inferred
9,MUM-E000221,,0.35,0.15,51.2,0,,inferred
10,MUM-E000222,Bandra Bus Station (E),0.35,0.15,51.2,0,,inferred
11,MUM-E000223,Bandra Bus Station (E),0.35,0.15,51.2,0,,inferred
12,MUM-E000224,Bandra Bus Station (E),0.35,0.15,51.2,0,,inferred
13,MUM-E000225,Bandra Bus Station (E),0.35,0.15,51.2,0,,inferred
14,MUM-E000226,Bandra Bus Station (E),0.35,0.15,51.2,0,,inferred
15,MUM-E000275,,0.35,0.15,51.2,0,,inferred
16,MUM-E000965,,0.35,0.15,51.2,0,,inferred
17,MUM-E000966,,0.35,0.15,51.2,0,,inferred
18,MUM-E000967,,0.35,0.15,51.2,0,,inferred
19,MUM-E000968,,0.35,0.15,51.2,0,,inferred
20,MUM-E000969,Cubic mall parking exit,0.35,0.15,51.2,0,,inferred
21,MUM-E000970,Cubic mall parking exit,0.35,0.15,51.2,0,,inferred
22,MUM-E000971,Cubic mall parking exit,0.35,0.15,51.2,0,,inferred
23,MUM-E000972,Cubic mall parking entrance,0.35,0.15,51.2,0,,inferred
24,MUM-E000973,Cubic mall parking entrance,0.35,0.15,51.2,0,,inferred
25,MUM-E000974,Cubic mall parking entrance,0.35,0.15,51.2,0,,inferred
