rank,edge_id,street,beta_mean,beta_sd,capacity_reduction_pct,observations,hotspots_explained,confidence
1,MUM-E001862,,0.4461,0.15,62.6,0,,inferred
2,MUM-E040269,,0.4402,0.1498,62.0,0,,inferred
3,MUM-E040270,,0.4394,0.1477,61.9,0,,inferred
4,MUM-E017929,Nathani Road,0.4091,0.1861,58.4,0,,inferred
5,MUM-E016248,,0.3922,0.1911,56.4,0,,inferred
6,MUM-E040267,,0.3783,0.1471,54.7,0,,inferred
7,MUM-E001861,,0.369,0.1415,53.6,0,,inferred
8,MUM-E024342,,0.3664,0.1381,53.3,0,,inferred
9,MUM-E003073,Andheri Flyover,0.3649,0.1359,53.1,0,,inferred
10,MUM-E025674,,0.3648,0.1346,53.1,0,,inferred
11,MUM-E004660,,0.3645,0.1344,53.0,0,,inferred
12,MUM-E022392,,0.3639,0.1358,53.0,0,,inferred
13,MUM-E004659,,0.3632,0.1418,52.9,0,,inferred
14,MUM-E022393,,0.3635,0.1428,52.9,0,,inferred
15,MUM-E025673,,0.3636,0.1409,52.9,0,,inferred
16,MUM-E004658,,0.363,0.1412,52.8,1,,inferred
17,MUM-E004661,,0.3626,0.1457,52.8,0,,inferred
18,MUM-E022390,,0.363,0.143,52.8,0,,inferred
19,MUM-E025671,,0.3626,0.1418,52.8,0,,inferred
20,MUM-E025672,,0.3623,0.1431,52.8,0,,inferred
21,MUM-E003071,Andheri Flyover,0.3617,0.1427,52.7,0,,inferred
22,MUM-E003072,Andheri Flyover,0.3621,0.142,52.7,0,,inferred
23,MUM-E022391,,0.362,0.1456,52.7,0,,inferred
24,MUM-E025382,Nathani Road,0.3578,0.1798,52.2,0,,inferred
25,MUM-E040271,,0.3569,0.1425,52.1,0,,inferred
