ts,station_id,name,lat,lon,mm_5min,synthetic
2019-07-02T05:40:00+05:30,BMC-FS-ANDHERI,Andheri fire station,19.1121617,72.8408627,0.233,True
2019-07-02T05:40:00+05:30,BMC-FS-CHEMBUR,Chembur fire station,19.0545248,72.8935199,0.213,True
2019-07-02T05:40:00+05:30,BMC-PS-COLABA,Colaba pumping station,18.9079312,72.8189501,0.284,True
2019-07-02T05:40:00+05:30,BMC-PS-HAJIALI,Haji Ali storm water pumping station,18.9786563,72.8122843,0.246,True
2019-07-02T05:40:00+05:30,BMC-WARD-B,B ward office (Dongri / Mazgaon),18.9614826,72.8333205,0.285,True
2019-07-02T05:40:00+05:30,BMC-WARD-FN,F North ward office (Matunga / Sion / Wadala),19.0265628,72.8542714,0.245,True
2019-07-02T05:40:00+05:30,BMC-WARD-GS,G South ward office (Worli / Lower Parel),19.0083095,72.8304651,0.264,True
2019-07-02T05:40:00+05:30,BMC-WARD-L,L ward office (Kurla),19.0705444,72.8788995,0.249,True
2019-07-02T05:40:00+05:30,IMD-CLB-43057,IMD Mumbai-Colaba observatory (Regional Meteorological Centre),18.8975995,72.8131691,0.269,True
2019-07-02T05:40:00+05:30,IMD-SCZ-43003,IMD Mumbai-Santacruz observatory,19.089,72.868,0.193,True
2019-07-02T05:55:00+05:30,BMC-FS-ANDHERI,Andheri fire station,19.1121617,72.8408627,0.216,True
2019-07-02T05:55:00+05:30,BMC-FS-CHEMBUR,Chembur fire station,19.0545248,72.8935199,0.18,True
2019-07-02T05:55:00+05:30,BMC-PS-COLABA,Colaba pumping station,18.9079312,72.8189501,0.229,True
2019-07-02T05:55:00+05:30,BMC-PS-HAJIALI,Haji Ali storm water pumping station,18.9786563,72.8122843,0.269,True
2019-07-02T05:55:00+05:30,BMC-WARD-B,B ward office (Dongri / Mazgaon),18.9614826,72.8333205,0.26,True
2019-07-02T05:55:00+05:30,BMC-WARD-FN,F North ward office (Matunga / Sion / Wadala),19.0265628,72.8542714,0.246,True
2019-07-02T05:55:00+05:30,BMC-WARD-GS,G South ward office (Worli / Lower Parel),19.0083095,72.8304651,0.292,True
2019-07-02T05:55:00+05:30,BMC-WARD-L,L ward office (Kurla),19.0705444,72.8788995,0.258,True
2019-07-02T05:55:00+05:30,IMD-CLB-43057,IMD Mumbai-Colaba observatory (Regional Meteorological Centre),18.8975995,72.8131691,0.233,True
2019-07-02T05:55:00+05:30,IMD-SCZ-43003,IMD Mumbai-Santacruz observatory,19.089,72.868,0.267,True
2019-07-02T06:10:00+05:30,BMC-FS-ANDHERI,Andheri fire station,19.1121617,72.8408627,0.222,True
2019-07-02T06:10:00+05:30,BMC-FS-CHEMBUR,Chembur fire station,19.0545248,72.8935199,0.256,True
2019-07-02T06:10:00+05:30,BMC-PS-COLABA,Colaba pumping station,18.9079312,72.8189501,0.213,True
2019-07-02T06:10:00+05:30,BMC-PS-HAJIALI,Haji Ali storm water pumping station,18.9786563,72.8122843,0.246,True
2019-07-02T06:10:00+05:30,BMC-WARD-B,B ward office (Dongri / Mazgaon),18.9614826,72.8333205,0.194,True
2019-07-02T06:10:00+05:30,BMC-WARD-FN,F North ward office (Matunga / Sion / Wadala),19.0265628,72.8542714,0.248,True
2019-07-02T06:10:00+05:30,BMC-WARD-GS,G South ward office (Worli / Lower Parel),19.0083095,72.8304651,0.271,True
2019-07-02T06:10:00+05:30,BMC-WARD-L,L ward office (Kurla),19.0705444,72.8788995,0.236,True
2019-07-02T06:10:00+05:30,IMD-CLB-43057,IMD Mumbai-Colaba observatory (Regional Meteorological Centre),18.8975995,72.8131691,0.23,True
2019-07-02T06:10:00+05:30,IMD-SCZ-43003,IMD Mumbai-Santacruz observatory,19.089,72.868,0.22,True
2019-07-02T06:25:00+05:30,BMC-FS-ANDHERI,Andheri fire station,19.1121617,72.8408627,0.224,True
2019-07-02T06:25:00+05:30,BMC-FS-CHEMBUR,Chembur fire station,19.0545248,72.8935199,0.288,True
2019-07-02T06:25:00+05:30,BMC-PS-COLABA,Colaba pumping station,18.9079312,72.8189501,0.28,True
2019-07-02T06:25:00+05:30,BMC-PS-HAJIALI,Haji Ali storm water pumping station,18.9786563,72.8122843,2.4,True
2019-07-02T06:25:00+05:30,BMC-WARD-B,B ward office (Dongri / Mazgaon),18.9614826,72.8333205,1.026,True
2019-07-02T06:25:00+05:30,BMC-WARD-FN,F North ward office (Matunga / Sion / Wadala),19.0265628,72.8542714,0.684,True
2019-07-02T06:25:00+05:30,BMC-WARD-GS,G South ward office (Worli / Lower Parel),19.0083095,72.8304651,1.179,True
