rank,edge_id,street,beta_mean,beta_sd,capacity_reduction_pct,observations,hotspots_explained,confidence
1,MUM-E037896,,0.4926,0.2348,67.7,0,,inferred
2,MUM-E037914,,0.4356,0.2401,61.4,0,,inferred
3,MUM-E046339,,0.4186,0.1465,59.5,0,,inferred
4,MUM-E046403,,0.406,0.142,58.0,0,,inferred
5,MUM-E025674,,0.3648,0.1346,53.1,0,,inferred
6,MUM-E004660,,0.3645,0.1344,53.0,0,,inferred
7,MUM-E015038,,0.3645,0.1397,53.0,0,,inferred
8,MUM-E004659,,0.3632,0.1418,52.9,0,,inferred
9,MUM-E011219,,0.3639,0.1408,52.9,0,,inferred
10,MUM-E015041,,0.3632,0.1429,52.9,1,,inferred
11,MUM-E018095,Khodadad Circle,0.3636,0.2218,52.9,0,,inferred
12,MUM-E025673,,0.3636,0.1409,52.9,0,,inferred
13,MUM-E004658,,0.363,0.1412,52.8,1,,inferred
14,MUM-E004661,,0.3626,0.1457,52.8,0,,inferred
15,MUM-E015040,,0.363,0.1431,52.8,0,,inferred
16,MUM-E025671,,0.3626,0.1418,52.8,0,,inferred
17,MUM-E025672,,0.3623,0.1431,52.8,0,,inferred
18,MUM-E046944,,0.3624,0.1419,52.8,0,,inferred
19,MUM-E011221,,0.3616,0.1434,52.7,0,,inferred
20,MUM-E015039,,0.3618,0.145,52.7,0,,inferred
21,MUM-E000008,Sewri Cemetery Road,0.35,0.15,51.2,0,,inferred
22,MUM-E000009,Sewri Cemetery Road,0.35,0.15,51.2,0,,inferred
23,MUM-E000010,Sewri Cemetery Road,0.35,0.15,51.2,0,,inferred
24,MUM-E000103,Road No 5,0.35,0.15,51.2,0,,inferred
25,MUM-E000104,Road No 5,0.35,0.15,51.2,0,,inferred
