rank,edge_id,street,beta_mean,beta_sd,capacity_reduction_pct,observations,hotspots_explained,confidence
1,MUM-E010664,,0.4847,0.1893,66.9,0,,inferred
2,MUM-E041990,,0.3958,0.1937,56.8,0,,inferred
3,MUM-E032641,,0.3854,0.1827,55.6,1,,inferred
4,MUM-E010657,,0.3845,0.1922,55.5,1,,inferred
5,MUM-E011037,,0.3665,0.1984,53.3,1,,inferred
6,MUM-E022097,,0.365,0.1437,53.1,0,,inferred
7,MUM-E025674,,0.3648,0.1346,53.1,0,,inferred
8,MUM-E004660,,0.3645,0.1344,53.0,0,,inferred
9,MUM-E015038,,0.3645,0.1397,53.0,0,,inferred
10,MUM-E004659,,0.3632,0.1418,52.9,0,,inferred
11,MUM-E015041,,0.3632,0.1429,52.9,1,,inferred
12,MUM-E023103,,0.3636,0.1424,52.9,0,,inferred
13,MUM-E025673,,0.3636,0.1409,52.9,0,,inferred
14,MUM-E004658,,0.363,0.1412,52.8,1,,inferred
15,MUM-E004661,,0.3626,0.1457,52.8,0,,inferred
16,MUM-E015040,,0.363,0.1431,52.8,0,,inferred
17,MUM-E023104,,0.3631,0.1448,52.8,1,,inferred
18,MUM-E025671,,0.3626,0.1418,52.8,0,,inferred
19,MUM-E025672,,0.3623,0.1431,52.8,0,,inferred
20,MUM-E046944,,0.3624,0.1419,52.8,0,,inferred
21,MUM-E008041,60 Feet Road,0.362,0.1456,52.7,0,,inferred
22,MUM-E015039,,0.3618,0.145,52.7,0,,inferred
23,MUM-E023105,,0.3618,0.1449,52.7,0,,inferred
24,MUM-E000372,,0.3607,0.1462,52.6,0,,inferred
25,MUM-E000380,"['Lal Bahadur Shastri Marg', 'Sant Rohidas Marg']",0.3505,0.1992,51.3,1,,inferred
